-1,"Unknown",NULL,"-","N/A","\\N",NULL,"Y"
1,"Private flight",NULL,"","","",NULL,"Y"
2,"135 Airways",NULL,"","GNL","GENERAL","United States","N"
3,"1Time Airline",NULL,"1T","RNX","NEXTIME","South Africa","Y"
4,"2 Sqn No 1 Elementary Flying Training School",NULL,"","WYT","","United Kingdom","N"
5,"213 Flight Unit",NULL,"","TFU","","Russia","N"
6,"223 Flight Unit State Airline",NULL,"","CHD","CHKALOVSK-AVIA","Russia","N"
7,"224th Flight Unit",NULL,"","TTF","CARGO UNIT","Russia","N"
8,"247 Jet Ltd",NULL,"","TWF","CLOUD RUNNER","United Kingdom","N"
9,"3D Aviation",NULL,"","SEC","SECUREX","United States","N"
10,"40-Mile Air",NULL,"Q5","MLA","MILE-AIR","United States","Y"
11,"4D Air",NULL,"","QRT","QUARTET","Thailand","N"
12,"611897 Alberta Limited",NULL,"","THD","DONUT","Canada","N"
13,"Ansett Australia",NULL,"AN","AAA","ANSETT","Australia","Y"
14,"Abacus International",NULL,"1B","","","Singapore","Y"
15,"Abelag Aviation",NULL,"W9","AAB","ABG","Belgium","N"
16,"Army Air Corps",NULL,"","AAC","ARMYAIR","United Kingdom","N"
17,"Aero Aviation Centre Ltd.",NULL,"","AAD","SUNRISE","Canada","N"
18,"Aero Servicios Ejecutivos Internacionales",NULL,"","SII","ASEISA","Mexico","N"
19,"Aero Biniza",NULL,"","BZS","BINIZA","Mexico","N"
20,"Aero Albatros",NULL,"","ABM","ALBATROS ESPANA","Spain","N"
21,"Aigle Azur",NULL,"ZI","AAF","AIGLE AZUR","France","Y"
22,"Aloha Airlines",NULL,"AQ","AAH","ALOHA","United States","Y"
23,"Alaska Island Air",NULL,"","AAK","ALASKA ISLAND","United States","N"
24,"American Airlines",NULL,"AA","AAL","AMERICAN","United States","Y"
25,"Aviation Management Corporation",NULL,"","AAM","AM CORP","United States","N"
26,"Atlantis Airlines (USA)",NULL,"","AAO","ATLANTIS AIR","United States","N"
27,"Aerovista Airlines",NULL,"","AAP","AEROVISTA GROUP","United Arab Emirates","N"
28,"Asiana Airlines",NULL,"OZ","AAR","ASIANA","Republic of Korea","Y"
29,"Askari Aviation",NULL,"4K","AAS","AL-AAS","Pakistan","Y"
30,"Australia Asia Airlines",NULL,"","AAU","AUSTASIA","Australia","N"
31,"Astro Air International",NULL,"","AAV","ASTRO-PHIL","United States","N"
32,"Afriqiyah Airways",NULL,"8U","AAW","AFRIQIYAH","Libya","Y"
33,"Afrinat International Airlines",NULL,"Q9","AFU","","Gambia","N"
34,"Afric'air Express",NULL,"","AAX","AFREX","Ivory Coast","N"
35,"Allegiant Air",NULL,"G4","AAY","ALLEGIANT","United States","Y"
36,"Angus Aviation",NULL,"","AAZ","ANGUS","Canada","N"
37,"Artem-Avia",NULL,"","ABA","ARTEM-AVIA","Ukraine","N"
38,"African Business and Transportations",NULL,"","ABB","AFRICAN BUSINESS-","Democratic Republic of the Congo","N"
39,"Aban Air",NULL,"K5","ABE","ABAN","Iran","n"
40,"Aerial Oy",NULL,"","ABF","SKYWINGS","Finland","N"
41,"Abakan-Avia",NULL,"","ABG","ABAKAN-AVIA","Russia","N"
42,"ABSA - Aerolinhas Brasileiras",NULL,"M3","TUS","ABSA Cargo","Brazil","Y"
43,"Abaet",NULL,"","ABJ","Abaet","Brazil","N"
44,"Alberta Citylink",NULL,"","ABK","ALBERTA CITYLINK","Canada","N"
45,"APSA Colombia",NULL,"","ABO","AEROEXPRESO","Colombia","N"
46,"Aerovias Bueno",NULL,"","ABU","AEROBUENO","Colombia","N"
47,"Aerocenter",NULL,"","ACR"," Escuela de Formacion de Pioltos Privados de Avion","AEROCENTER","N"
48,"Antrak Air",NULL,"04","ABV","ANTRAK","Ghana","N"
49,"Airborne Express",NULL,"GB","ABX","ABEX","United States","N"
